qy	84
pm	23
hz	10
qb	49
kt	65
oc	39
yj	32
zo	51
bw	55
tx	13
pt	42
nt	20
ze	28
nr	67
rt	37
ty	73
lm	40
zv	86
ah	16
qm	36
vy	62
ws	97
xn	88
nv	37
ha	98
yu	95
ta	79
vc	11
hd	21
bx	10
lt	37
kr	62
ay	38
na	87
od	72
up	50
zp	96
ta	13
xi	71
bs	84
xu	70
gj	16
qz	34
ae	30
lb	73
fy	13
ep	70
jt	38
kv	56
js	39
kb	12
ol	45
bj	21
yr	35
yl	27
hj	54
ox	77
gf	78
ud	83
tw	51
de	72
bc	19
yp	31
dx	96
nq	25
yp	82
ao	38
ge	68
lk	90
ik	54
ja	42
cb	20
xp	13
gw	14
ut	87
fe	37
io	22
pl	28
sp	93
gv	46
fb	74
bc	87
wg	96
df	85
we	72
as	91
ac	23
qa	98
dh	42
qi	68
er	87
us	80
bo	66
ew	86
iu	80
ns	42
jw	17
iu	85
ma	18
pa	58
qo	54
fz	54
zk	28
yo	11
kp	76
qz	20
ua	38
qc	43
bg	48
wb	93
ky	97
yk	30
tp	67
dl	79
jr	93
pn	29
nw	60
dd	48
ye	40
ic	37
fu	49
du	96
ie	42
jt	57
cc	10
kr	67
eg	37
lb	45
er	41
fo	41
eb	92
dm	15
zs	52
vt	36
ca	42
ju	97
kh	89
sf	51
hy	23
cr	90
zs	84
qj	78
fu	65
io	16
oz	31
or	84
gk	34
iw	26
mo	42
px	68
xz	87
cu	51
xy	64
ln	59
tv	31
mg	75
tj	34
lg	50
do	24
qu	27
gj	82
uf	73
dx	64
ml	22
sd	48
fn	71
bx	16
uf	11
rb	35
af	68
uk	87
mw	48
au	38
tp	42
vb	15
xf	35
kh	82
mn	94
lg	38
lt	29
zn	80
yx	23
pt	48
cu	76
pv	29
kn	43
ju	13
kx	79
wo	10
qn	53
do	62
rt	84
rh	94
ox	53
yt	49
ep	24
lp	44
wb	58
ef	12
ux	65
du	26
vj	68
cv	75
ce	34
fk	10
gs	19
xj	14
gl	14
yg	56
xy	96
kk	61
nx	60
bt	52
kb	64
co	41
mu	66
tq	69
hp	10
ka	47
tu	53
cw	24
hc	33
ka	35
dl	62
pd	17
ie	44
zv	65
ki	93
ab	45
jq	78
ii	39
pr	98
wk	32
zc	89
xe	34
in	57
ja	54
cu	61
gf	53
jd	33
wu	35
nh	14
rx	70
bh	10
zr	21
js	88
ze	44
bx	50
ig	30
ss	20
dy	27
ye	57
xm	75
ti	70
lt	88
ck	71
pp	27
qz	43
aw	89
ld	57
tm	86
uo	53
tl	32
xu	64
gi	91
na	93
jc	71
px	23
py	71
oo	81
hp	83
ol	63
mo	99
en	63
sq	82
vt	40
oa	27
bv	22
us	78
ip	31
